Date,Year,Week,Description,Amount,Level 1,Level 2,Level 3,Transaction Type,Payment Mode
07/01/24,2024,1,Birthday Gift - Chandra Brahmasa - Massimo Dutti Jacket,8280,One-Time,Gifting,Birthday Gift,Credit Card,AMEX Platinum Travel
07/01/24,2024,1,Birthday Gift - Chandra Brahmasa - Cufflinks (paid by Ajay),3800,One-Time,Gifting,Birthday Gift,UPI,Google Pay
07/01/24,2024,1,Adjustment - Birthday Gift - Chandra Brahmasa,-10570,One-Time,Gifting,Birthday Gift,UPI,Google Pay
07/01/24,2024,1,Parking - UB City,100,Regular,Car,Parking,Digital Wallet,PayTM
07/01/24,2024,1,Concu with Fathima Jenna,1461,Regular,Food,Dine-out,Credit Card,HDFC Diners Black
07/01/24,2024,1,Sodexo - Jan’24,-2200,Regular,Credit,Meal Card,Digital Wallet,Pluxee/Sodexo
08/01/24,2024,2,Flight BLR-PNQ (04/01/2024),1222,One-Time,Travel,Flight,Credit Card,HDFC Diners Black
08/01/24,2024,2,Shell Petrol Pump Snacks,205,Regular,Food,Groceries,Credit Card,HDFC TataNeu Infinity
08/01/24,2024,2,Breakfast,136,Regular,Food,Dine-out,Credit Card,HDFC TataNeu Infinity
08/01/24,2024,2,Swiggy Dinner,354,Regular,Food,Swiggy,Credit Card,OneCard
09/01/24,2024,2,Breakfast,136,Regular,Food,Dine-out,Credit Card,HDFC TataNeu Infinity
09/01/24,2024,2,Swiggy Dinner,226,Regular,Food,Swiggy,Digital Wallet,Pluxee/Sodexo
09/01/24,2024,2,Airtel Data Pack,99.9,Regular,Subscription,Mobile Data,Credit Card,HDFC TataNeu Infinity
10/01/24,2024,2,Breakfast,136,Regular,Food,Dine-out,Credit Card,HDFC TataNeu Infinity
10/01/24,2024,2,Swiggy Dinner,220,Regular,Food,Swiggy,Credit Card,HDFC Swiggy
10/01/24,2024,2,Instamart,602,Regular,Food,Groceries,Credit Card,HDFC Swiggy
10/01/24,2024,2,Referral Reward - HDFC TataNeu Infinity - Ajay,-500,Regular,Credit,Cashback,Digital Wallet,Tata Neu
11/01/24,2024,2,Breakfast,136,Regular,Food,Dine-out,Credit Card,HDFC TataNeu Infinity
11/01/24,2024,2,Swiggy Dinner,203,Regular,Food,Swiggy,Credit Card,HDFC Swiggy
11/01/24,2024,2,Jio Data Pack,34.63,Regular,Subscription,Mobile Data,Credit Card,ICICI AmazonPay
11/01/24,2024,2,Jio Data Pack,26.37,Regular,Subscription,Mobile Data,Digital Wallet,AmazonPay
12/01/24,2024,2,YouTube Music - Jan’24,129,Regular,Subscription,Music,UPI,Google Pay
12/01/24,2024,2,Shell Petrol Pump Snacks,150,Regular,Food,Groceries,Credit Card,HDFC TataNeu Infinity
12/01/24,2024,2,Breakfast,136,Regular,Food,Dine-out,Credit Card,HDFC TataNeu Infinity
12/01/24,2024,2,Swiggy Dinner,298,Regular,Food,Swiggy,Credit Card,HDFC Swiggy
12/01/24,2024,2,Swiggy Dinner,388,Regular,Food,Swiggy,Credit Card,HDFC Swiggy
13/01/24,2024,2,Breakfast,70,Regular,Food,Dine-out,Credit Card,HDFC TataNeu Infinity
13/01/24,2024,2,Swiggy Lunch,340,Regular,Food,Swiggy,Credit Card,HDFC Swiggy
13/01/24,2024,2,Swiggy Lunch,177,Regular,Food,Swiggy,Credit Card,HDFC Swiggy
13/01/24,2024,2,Parking - INOX Lido MG Road,100,Regular,Car,Parking,Credit Card,HDFC Diners Black
13/01/24,2024,2,Movie - Merry Christmas - INOX Lido MG Road,1440,Regular,Entertainment,Cinema,Credit Card,HDFC Diners Black
13/01/24,2024,2,Adjustment - Movie - Merry Christmas with Garima,-500,Regular,Entertainment,Cinema,UPI,Google Pay
14/01/24,2024,2,Amazon Pay Cashback - Jan’24,-29,Regular,Credit,Cashback,Digital Wallet,AmazonPay
14/01/24,2024,2,AllMarket,80,Regular,Food,Groceries,Credit Card,HDFC TataNeu Infinity
14/01/24,2024,2,Swiggy Dinner,245,Regular,Food,Swiggy,Credit Card,HDFC Swiggy
14/01/24,2024,2,Zomato Lunch,229.44,Regular,Food,Zomato,Credit Card,OneCard
14/01/24,2024,2,Paytm Reload Fee (500 INR + 300 INR),18.8,Regular,Car,Toll,Credit Card,HDFC TataNeu Infinity
14/01/24,2024,2,Apple AirPods - Cleaning Tool,106,One-Time,Shopping,Household,Credit Card,ICICI AmazonPay
14/01/24,2024,2,Tolls - BLR to MSR to BLR,640,Regular,Car,Toll,Digital Wallet,PayTM
14/01/24,2024,2,Rahee Di Roambay (5 nights),2932,One-Time,Travel,Accommodation,Credit Card,HDFC Diners Black
15/01/24,2024,3,Flight PNQ-BLR (05/01/2024),2458,One-Time,Travel,Flight,Credit Card,HDFC Diners Black
15/01/24,2024,3,Zomato Lunch,224.04,Regular,Food,Zomato,Credit Card,HDFC Swiggy
15/01/24,2024,3,Swiggy Breakfast,242,Regular,Food,Swiggy,Credit Card,HDFC Swiggy
15/01/24,2024,3,Jio Data Pack,210,Regular,Subscription,Mobile Data,Credit Card,ICICI AmazonPay
15/01/24,2024,3,Jio Data Pack,29,Regular,Subscription,Mobile Data,Digital Wallet,AmazonPay
16/01/24,2024,3,Multivitamins -  Tata 1MG,806,Regular,Health & Wellness,Supplements,Credit Card,HDFC TataNeu Infinity
16/01/24,2024,3,AllMarket,259,Regular,Food,Groceries,Credit Card,HDFC TataNeu Infinity
16/01/24,2024,3,Swiggy Breakfast,190,Regular,Food,Swiggy,Credit Card,HDFC Swiggy
16/01/24,2024,3,Swiggy Lunch,331,Regular,Food,Swiggy,Credit Card,HDFC Swiggy
16/01/24,2024,3,Amazon Pay Refund,-150,Regular,Credit,Cashback,Digital Wallet,AmazonPay
16/01/24,2024,3,Bonus Reward - Tata 1MG,-240.05,Regular,Credit,Cashback,Digital Wallet,Tata Neu
17/01/24,2024,3,Swiggy Breakfast,177,Regular,Food,Swiggy,Credit Card,HDFC Swiggy
17/01/24,2024,3,Swiggy Lunch,234,Regular,Food,Swiggy,Credit Card,HDFC Swiggy
17/01/24,2024,3,Swiggy Evening Coffee,259,Regular,Food,Swiggy,Credit Card,HDFC Swiggy
17/01/24,2024,3,Swiggy Dinner,286,Regular,Food,Swiggy,Credit Card,HDFC Swiggy
17/01/24,2024,3,Swiggy Dessert,274,Regular,Food,Swiggy,Credit Card,HDFC Swiggy
18/01/24,2024,3,iCloud 2TB - Jan’24,728,Regular,Subscription,Cloud Storage,Credit Card,ICICI AmazonPay
18/01/24,2024,3,iCloud 2TB - Jan’24,150,Regular,Subscription,Cloud Storage,Digital Wallet,AmazonPay
18/01/24,2024,3,Swiggy Breakfast,222,Regular,Food,Swiggy,Credit Card,HDFC Swiggy
18/01/24,2024,3,Swiggy Lunch,455,Regular,Food,Swiggy,Credit Card,HDFC Swiggy
18/01/24,2024,3,Swiggy Dinner,489,Regular,Food,Swiggy,Credit Card,HDFC Swiggy
18/01/24,2024,3,Instamart,234,Regular,Food,Groceries,Credit Card,HDFC Swiggy
18/01/24,2024,3,Referral Reward - HDFC TataNeu Infinity - Sumangal,-500,Regular,Credit,Cashback,Digital Wallet,Tata Neu
19/01/24,2024,3,Smokehouse Deli with Ajay & Ayushi (Ajay paid),1018.33,Regular,Food,Dine-out,UPI,Google Pay
19/01/24,2024,3,Subway Dinner - Bhartiya Mall,366,Regular,Food,Dine-out,Credit Card,HDFC TataNeu Infinity
19/01/24,2024,3,Lint Remover Roll,269,One-Time,Shopping,Household,Credit Card,ICICI AmazonPay
19/01/24,2024,3,Movie - Main Atal Hoon - PVR Bhartiya Mall,280,Regular,Entertainment,Cinema,Credit Card,HDFC TataNeu Infinity
19/01/24,2024,3,Parking - Bhartiya Mall,110,Regular,Car,Parking,Credit Card,HDFC TataNeu Infinity
20/01/24,2024,3,Swiggy Lunch,327,Regular,Food,Swiggy,Credit Card,HDFC Swiggy
21/01/24,2024,3,"Birthday Gift - Shevantika Nanda - INR 10,000 Voucher",9750,One-Time,Gifting,Birthday Gift,Credit Card,HDFC Diners Black
21/01/24,2024,3,HumbleBeans Cafe Indiranagar,750,Regular,Food,Dine-out,Credit Card,HDFC Diners Black
21/01/24,2024,3,Magnolia Bakery Indiranagar,401,Regular,Food,Dine-out,Credit Card,HDFC Diners Black
21/01/24,2024,3,Swiggy Dinner,305,Regular,Food,Swiggy,Credit Card,HDFC Swiggy
22/01/24,2024,4,AllMarket,80,Regular,Food,Groceries,Credit Card,HDFC TataNeu Infinity
22/01/24,2024,4,Swiggy Lunch,448,Regular,Food,Swiggy,Credit Card,HDFC Swiggy
22/01/24,2024,4,Swiggy Lunch Refund,-76,Regular,Food,Swiggy,Credit Card,HDFC Swiggy
23/01/24,2024,4,Swiggy Lunch,268,Regular,Food,Swiggy,Credit Card,HDFC Swiggy
23/01/24,2024,4,Swiggy Dinner,236,Regular,Food,Swiggy,Credit Card,HDFC Swiggy
23/01/24,2024,4,Canva 1-Day Subscription,69,Regular,Subscription,Web & Software,Credit Card,HDFC TataNeu Infinity
23/01/24,2024,4,Amex Platinum Travel Annual Fee,5900,One-Time,AMC & Fees,Credit Card,Credit Card,AMEX Platinum Travel
23/01/24,2024,4,Amex Platinum Travel Annual Fee Waiver,-2950,One-Time,AMC & Fees,Credit Card,Credit Card,AMEX Platinum Travel
24/01/24,2024,4,OneCard Reward Cashback - Jan’24,-100,Regular,Credit,Cashback,Credit Card,OneCard
24/01/24,2024,4,AllMarket,108,Regular,Food,Groceries,Credit Card,HDFC TataNeu Infinity
24/01/24,2024,4,Swiggy Breakfast,174,Regular,Food,Swiggy,Credit Card,HDFC Swiggy
24/01/24,2024,4,Instamart,301,Regular,Food,Groceries,Credit Card,HDFC Swiggy
24/01/24,2024,4,Swiggy Lunch,334,Regular,Food,Swiggy,Credit Card,HDFC Swiggy
25/01/24,2024,4,Swiggy Breakfast,267,Regular,Food,Swiggy,Credit Card,HDFC Swiggy
25/01/24,2024,4,Swiggy Lunch,203,Regular,Food,Swiggy,Credit Card,HDFC Swiggy
25/01/24,2024,4,Pizza Express Koramangala (Puspendu paid),600,Regular,Food,Dine-out,UPI,Google Pay
25/01/24,2024,4,Movie - Fighter - PVR Koramangala (Garima paid),321.66,Regular,Entertainment,Cinema,UPI,Google Pay
25/01/24,2024,4,PVR Snacks,1250,Regular,Food,Dine-out,Credit Card,HDFC Diners Black
25/01/24,2024,4,Adjustment - PVR Snacks,-780,Regular,Food,Dine-out,UPI,Google Pay
25/01/24,2024,4,Parking - PVR Koramangala,90,Regular,Car,Parking,Digital Wallet,PayTM
25/01/24,2024,4,TataNeu Cashback - Jan’24,-27,Regular,Credit,Cashback,Digital Wallet,Tata Neu
26/01/24,2024,4,Swiggy Breakfast,253,Regular,Food,Swiggy,Credit Card,HDFC Swiggy
26/01/24,2024,4,Swiggy Lunch,172,Regular,Food,Swiggy,Credit Card,HDFC Swiggy
26/01/24,2024,4,AllMarket,190,Regular,Food,Groceries,Credit Card,HDFC TataNeu Infinity
26/01/24,2024,4,Starbucks - Bhartiya City Mall,500,Regular,Food,Dine-out,Credit Card,HDFC TataNeu Infinity
26/01/24,2024,4,Geist Brewing Company - Bhartiya City Mall,750,Regular,Food,Dine-out,Credit Card,HDFC Diners Black
26/01/24,2024,4,Cash found in Sobha City Staircase,-500,Regular,Credit,Cashback,Cash,Cash
26/01/24,2024,4,HDFC Swiggy Cashback - Jan’24,-779,Regular,Credit,Cashback,Digital Wallet,Swiggy Money
26/01/24,2024,4,Alteration - Sobha City Tailor,100,Regular,Services,Tailoring,Credit Card,HDFC TataNeu Infinity
26/01/24,2024,4,Sheesh Kebab - Flea Market inside Sobha City,160,Regular,Food,Dine-out,Credit Card,HDFC TataNeu Infinity
26/01/24,2024,4,Movie - Malaikottai Vaaliban - PVR Bhartiya Mall,240,Regular,Entertainment,Cinema,Credit Card,HDFC TataNeu Infinity
27/01/24,2024,4,Parking - Bhartiya Mall,150,Regular,Car,Parking,Credit Card,HDFC TataNeu Infinity
27/01/24,2024,4,Swiggy Lunch,297,Regular,Food,Swiggy,Credit Card,HDFC Swiggy
28/01/24,2024,4,Gift for Aditya’s Parents - Ajfan Dates,2500,One-Time,Gifting,General Gift,Credit Card,HDFC Diners Black
28/01/24,2024,4,Gift for Aditya’s Child - Hamley’s,899,One-Time,Gifting,General Gift,Credit Card,HDFC Diners Black
28/01/24,2024,4,Adjustment - Gifts for Aditya’s Parents and Child,-2913.42,One-Time,Gifting,General Gift,UPI,Google Pay
28/01/24,2024,4,Windmills Brewery Brunch (Aditya paid),1770,Regular,Food,Dine-out,UPI,Google Pay
29/01/24,2024,5,Cafe Noir Dinner with Real Fan Club,7366.6,Regular,Food,Dine-out,Credit Card,HDFC Diners Black
29/01/24,2024,5,Concu Desserts with Real Fan Club,1643,Regular,Food,Dine-out,Credit Card,HDFC Diners Black
29/01/24,2024,5,Adjustment - Cafe Noir & Concu with Real Fan Club,-7922.25,Regular,Food,Dine-out,UPI,Google Pay
29/01/24,2024,5,Swiggy Breakfast,254,Regular,Food,Swiggy,Credit Card,HDFC Swiggy
29/01/24,2024,5,Swiggy Lunch,206,Regular,Food,Swiggy,Digital Wallet,Swiggy Money
29/01/24,2024,5,Car Wash - Jan’24,800,Regular,Car,Car Wash & Detailing,UPI,Google Pay
30/01/24,2024,5,Swiggy Breakfast,173,Regular,Food,Swiggy,Digital Wallet,Swiggy Money
30/01/24,2024,5,Swiggy Lunch,480,Regular,Food,Swiggy,Credit Card,HDFC Swiggy
31/01/24,2024,5,Swiggy Breakfast,254,Regular,Food,Swiggy,Digital Wallet,Swiggy Money
31/01/24,2024,5,Swiggy Dinner,334,Regular,Food,Swiggy,Credit Card,HDFC Swiggy
31/01/24,2024,5,Instamart,228,Regular,Food,Groceries,Credit Card,HDFC Swiggy
31/01/24,2024,5,CRED Cashback - Jan’24,-17,Regular,Credit,Cashback,UPI,Cred
01/02/24,2024,5,Netflix - Feb’24,649,Regular,Subscription,OTT,Credit Card,HDFC Diners Black
01/02/24,2024,5,Sodexo - Feb’24,-2200,Regular,Credit,Meal Card,Digital Wallet,Pluxee/Sodexo
01/02/24,2024,5,Swiggy Lunch,29,Regular,Food,Swiggy,Credit Card,HDFC Swiggy
01/02/24,2024,5,Swiggy Lunch,146,Regular,Food,Swiggy,Digital Wallet,Swiggy Money
01/02/24,2024,5,Swiggy Dinner,253,Regular,Food,Swiggy,Credit Card,HDFC Swiggy
02/02/24,2024,5,Swiggy Breakfast,177,Regular,Food,Swiggy,Digital Wallet,Pluxee/Sodexo
02/02/24,2024,5,Instamart,205,Regular,Food,Groceries,Credit Card,HDFC Swiggy
02/02/24,2024,5,Lighthouse New BEL Road with Sumu & Ajay,1354,Regular,Food,Dine-out,Credit Card,HDFC TataNeu Infinity
02/02/24,2024,5,Adjustment - Lighthouse New BEL Road,-902.67,Regular,Food,Dine-out,UPI,Google Pay
03/02/24,2024,5,Dinner at Chinita’s Indiranagar,664,Regular,Food,Dine-out,Credit Card,HDFC Diners Black
03/02/24,2024,5,Magnolia Bakery Indiranagar for Duby,1369,Regular,Food,Dine-out,Credit Card,HDFC Diners Black
04/02/24,2024,5,Paytm Reload Fee (500 INR),11.75,Regular,Car,Toll,Credit Card,HDFC Swiggy
04/02/24,2024,5,Tolls - BLR to SBY,535,Regular,Car,Toll,Digital Wallet,PayTM
04/02/24,2024,5,Bandipur Forest Green Fee,20,Regular,Car,Toll,UPI,Google Pay
04/02/24,2024,5,West Mount Cafe (Chundale) with Duby,340,Regular,Food,Dine-out,Credit Card,HDFC TataNeu Infinity
05/02/24,2024,6,Tolls - SBY to MSR,50,Regular,Car,Toll,Digital Wallet,PayTM
05/02/24,2024,6,Jio Data Pack,61,Regular,Subscription,Mobile Data,Credit Card,ICICI AmazonPay
05/02/24,2024,6,Airtel Data Pack,239,Regular,Subscription,Mobile Data,Credit Card,ICICI AmazonPay
05/02/24,2024,6,Cafe Coffee Day - Gundlupet,205,Regular,Food,Dine-out,UPI,Google Pay
05/02/24,2024,6,Instamart,227,Regular,Food,Groceries,Credit Card,HDFC Swiggy
05/02/24,2024,6,Swiggy Dinner,371,Regular,Food,Swiggy,Digital Wallet,Pluxee/Sodexo
05/02/24,2024,6,Rahee Di Roambay (4 nights - paid 05/02/24),2350,One-Time,Travel,Accommodation,Credit Card,HDFC Diners Black
06/02/24,2024,6,Breakfast - Ruchi Mane Restaurant,125,Regular,Food,Dine-out,Credit Card,HDFC TataNeu Infinity
06/02/24,2024,6,Evening Snacks - Mysooru Tea Company,55,Regular,Food,Dine-out,Credit Card,HDFC TataNeu Infinity
06/02/24,2024,6,Evening Snacks - Mysooru Tea Company,80,Regular,Food,Dine-out,Credit Card,HDFC TataNeu Infinity
06/02/24,2024,6,Swiggy Dinner,228,Regular,Food,Swiggy,Digital Wallet,Pluxee/Sodexo
07/02/24,2024,6,Birthday Gift - Shevantika Nanda - Ring Light,1299,One-Time,Gifting,Birthday Gift,Credit Card,ICICI AmazonPay
07/02/24,2024,6,Adjustment - Birthday Gift - Shevantika Nanda,-9895,One-Time,Gifting,Birthday Gift,UPI,Google Pay
07/02/24,2024,6,Swiggy Lunch,334,Regular,Food,Swiggy,Digital Wallet,Pluxee/Sodexo
07/02/24,2024,6,Federal Bank Debit Card AMC Charges,354,One-Time,AMC & Fees,Financial Account,UPI,Google Pay
08/02/24,2024,6,Breakfast - Ruchi Mane Restaurant,125,Regular,Food,Dine-out,Credit Card,HDFC TataNeu Infinity
08/02/24,2024,6,Swiggy Lunch,237,Regular,Food,Swiggy,Digital Wallet,Pluxee/Sodexo
08/02/24,2024,6,Swiggy Dinner,253,Regular,Food,Swiggy,Digital Wallet,Pluxee/Sodexo
08/02/24,2024,6,HDFC Swiggy Annual Fee,590,One-Time,AMC & Fees,Credit Card,Credit Card,HDFC Swiggy
09/02/24,2024,6,Swiggy Breakfast,369,Regular,Food,Swiggy,Digital Wallet,Pluxee/Sodexo
09/02/24,2024,6,Paytm Reload Fee (500 INR),11.75,Regular,Car,Toll,Credit Card,HDFC TataNeu Infinity
09/02/24,2024,6,Tolls - MSR to BLR,420,Regular,Car,Toll,Digital Wallet,PayTM
09/02/24,2024,6,Puncture Repair,100,Regular,Car,Maintenance & Repair,UPI,Google Pay
09/02/24,2024,6,AllMarket,122,Regular,Food,Groceries,Credit Card,HDFC TataNeu Infinity
09/02/24,2024,6,Alteration - Sobha City Tailor,100,Regular,Services,Tailoring,Credit Card,HDFC TataNeu Infinity
09/02/24,2024,6,"Shoffr - Airport Taxi with Sumangal, Anshul & Ajay",250,Regular,Travel,Cabs,UPI,Google Pay
09/02/24,2024,6,Gully Kitchen - BLR T2 Dinner,2485,Regular,Food,Dine-out,Credit Card,HDFC TataNeu Infinity
09/02/24,2024,6,Adjustment - Gully Kitchen - BLR T2 Dinner,-1988,Regular,Food,Dine-out,UPI,Google Pay
09/02/24,2024,6,Flight BLR-GOX (Booked 03/01/2024),1204,One-Time,Travel,Flight,Credit Card,AMEX Gold
10/02/24,2024,6,Birthday Gift - Garima Patodia,1600,One-Time,Gifting,Birthday Gift,UPI,Google Pay
10/02/24,2024,6,Artjuna Cafe (Goa) Breakfast with Puspendu,693,Regular,Food,Dine-out,UPI,Google Pay
10/02/24,2024,6,Eidi for Sisters,2000,One-Time,Gifting,Festival Gift,UPI,Google Pay
11/02/24,2024,6,Artjuna Cafe (Goa) Breakfast with Sumangal & Ajay,588,Regular,Food,Dine-out,UPI,Google Pay
11/02/24,2024,6,Goa Mopa Airport Lounge,2,Regular,Travel,Airport Lounge,Credit Card,HDFC Diners Black
11/02/24,2024,6,Flight GOX-BLR (Booked 06/01/2024),3111,One-Time,Travel,Flight,Credit Card,HDFC Diners Black
11/02/24,2024,6,BMTC Bus - BLR(T1) to Thanisandra Junction,240,One-Time,Travel,Bus,Credit Card,HDFC TataNeu Infinity
11/02/24,2024,6,Auto Fare - Thanisandra Junction to Sobha City,100,Regular,Travel,Cabs,Credit Card,HDFC TataNeu Infinity
11/02/24,2024,6,Auto Tips - Thanisandra Junction to Sobha City,30,Regular,Travel,Cabs,UPI,Google Pay
11/02/24,2024,6,Swiggy Dinner,231,Regular,Food,Swiggy,Digital Wallet,Pluxee/Sodexo
11/02/24,2024,6,Goa Trip Expenses,6382.43,One-Time,Travel,Vacation & Sightseeing,Credit Card,ICICI AmazonPay
11/02/24,2024,6,Adjustment - Goa Trip Expenses,-370,One-Time,Travel,Vacation & Sightseeing,UPI,Google Pay
12/02/24,2024,7,Valentine’s Day Gift for Duby - Aldo Handbag,10999,One-Time,Gifting,Partner Gift,Credit Card,HDFC Diners Black
12/02/24,2024,7,Magnolia Bakery - Phoenix Market City,401,Regular,Food,Dine-out,Credit Card,HDFC TataNeu Infinity
12/02/24,2024,7,Parking - Phoenix Market City,120,Regular,Car,Parking,Digital Wallet,PayTM
12/02/24,2024,7,Subway Dinner - Bhartiya Mall,303,Regular,Food,Dine-out,Credit Card,HDFC TataNeu Infinity
12/02/24,2024,7,Movie - Premalu - PVR Bhartiya Mall,250,Regular,Entertainment,Cinema,Credit Card,HDFC TataNeu Infinity
13/02/24,2024,7,Parking - Bhartiya Mall,110,Regular,Car,Parking,Credit Card,HDFC TataNeu Infinity
13/02/24,2024,7,Jio Data Pack,239,Regular,Subscription,Mobile Data,Credit Card,ICICI AmazonPay
13/02/24,2024,7,Amazon Pay Cashback - Feb’24,-130,Regular,Credit,Cashback,Digital Wallet,AmazonPay
13/02/24,2024,7,Daily Sushi Indiranagar with Sushma,965,Regular,Food,Dine-out,Credit Card,HDFC Diners Black
13/02/24,2024,7,Adjustment - Daily Sushi Indiranagar with Sushma,-482.5,Regular,Food,Dine-out,UPI,Google Pay
13/02/24,2024,7,Swiggy Breakfast,254,Regular,Food,Swiggy,Credit Card,HDFC Swiggy
13/02/24,2024,7,Instamart,221,Regular,Food,Groceries,Credit Card,HDFC Swiggy
14/02/24,2024,7,Paytm Reload Fee (500 INR),11.75,Regular,Car,Toll,Credit Card,HDFC TataNeu Infinity
14/02/24,2024,7,Tolls - BLR to SBY,505,Regular,Car,Toll,Digital Wallet,PayTM
14/02/24,2024,7,Bandipur Forest Green Fee,20,Regular,Car,Toll,UPI,Google Pay
14/02/24,2024,7,Taj Wayanad Valentine’s Day Lunch,3481,Regular,Food,Dine-out,Credit Card,HDFC Diners Black
15/02/24,2024,7,Paytm Reload Fee (200 INR),4.70,Regular,Car,Toll,Credit Card,HDFC TataNeu Infinity
15/02/24,2024,7,Tolls - SBY to MSR,60,Regular,Car,Toll,Digital Wallet,PayTM
15/02/24,2024,7,Cafe Coffee Day - Gundlupet,490,Regular,Food,Dine-out,Credit Card,HDFC TataNeu Infinity
15/02/24,2024,7,Swiggy Dinner,287,Regular,Food,Swiggy,Credit Card,HDFC Swiggy
15/02/24,2024,7,Swiggy Dinner,181,Regular,Food,Swiggy,Credit Card,HDFC Swiggy
15/02/24,2024,7,Rahee Di Roambay (2 nights),1173,One-Time,Travel,Accommodation,Credit Card,HDFC Diners Black
16/02/24,2024,7,Swiggy Breakfast,165,Regular,Food,Swiggy,Digital Wallet,Pluxee/Sodexo
16/02/24,2024,7,AllMarket,121,Regular,Food,Groceries,Credit Card,HDFC TataNeu Infinity
16/02/24,2024,7,Paytm Reload Fee (500 INR),11.75,Regular,Car,Toll,Credit Card,HDFC TataNeu Infinity
16/02/24,2024,7,Tolls - MSR to BLR,450,Regular,Car,Toll,Digital Wallet,PayTM
16/02/24,2024,7,Prints - AEP Pass,24,Regular,Services,Stationery,Credit Card,HDFC TataNeu Infinity
16/02/24,2024,7,Swiggy Lunch,231,Regular,Food,Swiggy,Credit Card,HDFC Swiggy
16/02/24,2024,7,Movie - Brahmayugam - PVR Bhartiya Mall,245.40,Regular,Entertainment,Cinema,Credit Card,OneCard
17/02/24,2024,7,Cafe Coffee Day - Sobha City,55,Regular,Food,Dine-out,UPI,Google Pay
